MemberID,Age,Gender,Postcode,Sector,JobGrade,AnnualSalary,YearsService,Status
MB00000038,36,M,LS1 1UR,Retail,Store Manager,26000.0,15,Active
MB00000039,28,F,EC1A 1BB,Manufacturing,Senior Technician,32000.0,7,Active
MB00000040,58,M,CF10 1DD,Public Service,Principal Officer,70000.0,37,Pensioner
MB00000041,47,F,M3 3EB,Other,Manager,68000.0,26,Deferred
MB00000042,55,F,EH1 1BB,Finance,Senior Manager,75000.0,32,Pensioner
MB00000043,38,M,L2 2PP,Healthcare,Band 6,40000.0,17,Active
MB00000044,32,F,BS1 4TR,Retail,Area Manager,29000.0,11,Active
MB00000045,73,M,CF11 9LJ,Education,Deputy Head,65000.0,51,Pensioner
MB00000046,44,F,SW1A 1AA,Other,Consultant,38000.0,23,Active
MB00000047,56,M,EH2 2ER,Manufacturing,Production Manager,75000.0,35,Pensioner
MB00000048,19,F,N1 9GU,Retail,Sales Assistant,18000.0,0,Active
MB00000049,45,M,B2 4QA,Healthcare,Band 7,75000.0,24,Active
MB00000050,31,F,W1A 1AA,Finance,Senior Analyst,54000.0,10,Active
MemberID,Age,Gender,Postcode,Sector,JobGrade,,YearsService,Status
MB00000051,34,F,SW1A 1AA,Finance,Senior Analyst,42000.0,13,Active
MB00000052,29,M,EC1A 1BB,Education,Teacher,31000.0,7,Active
MB00000053,38,M,M2 5BQ,Public Service,Grade 7,32000.0,11,Active
MB00000054,46,F,G2 8DL,Healthcare,Band 6,45000.0,22,Active
MB00000055,55,F,B1 1HQ,Manufacturing,Technician,29000.0,34,Deferred
MB00000056,51,M,L1 8JQ,Other,Consultant,37000.0,18,Pensioner
MB00000057,23,F,N1 9GU,Retail,Sales Assistant,23000.0,2,Active
MB00000058,27,F,LS2 8JS,Finance,Associate,48000.0,4,Active
MB00000059,36,F,E1 6AN,Public Service,Grade 6,40000.0,15,Active
MB00000060,45,M,W1A 1AA,Healthcare,Band 5,38000.0,24,Active
MB00000061,33,M,M3 3EB,Other,Senior Consultant,55000.0,8,Active
MB00000062,50,F,E1 6AN,Education,Head of Department,44000.0,29,Deferred
MB00000063,42,F,EC1A 1BB,Finance,Manager,53000.0,20,Active
MB00000064,24,F,G1 1XW,Manufacturing,Senior Technician,34000.0,3,Active
MB00000065,30,M,B3 3DH,Retail,Store Manager,33000.0,5,Active
MB00000066,56,O,B2 4QA,Public Service,Senior Officer,37000.0,35,Pensioner
MB00000067,26,F,EH2 2ER,Healthcare,Band 7,44000.0,5,Active
MB00000068,39,M,N1 9GU,Other,Associate,36000.0,17,Active
MB00000069,44,F,CF10 1DD,Education,Senior Teacher,35000.0,23,Active
MB00000070,54,F,CF11 9LJ,Finance,Director,112000.0,31,Pensioner
MB00000071,48,M,M1 1AA,Public Service,Principal Officer,45000.0,25,Deferred
MB00000072,62,F,L2 2PP,Manufacturing,Production Manager,75000.0,41,Pensioner
MB00000073,31,F,LS1 1UR,Retail,Supervisor,31000.0,6,Active
MB00000074,40,M,B2 4QA,Other,Manager,42000.0,15,Active
MB00000075,22,F,EH1 1BB,Education,Teacher,28500.0,1,Active
MB00000076,28,M,BS1 4TR,Manufacturing,Technician,32000.0,4,Active
MB00000077,37,F,BS2 0FZ,Public Service,Grade 7,42000.0,11,Active
MB00000078,32,M,G1 1XW,Finance,Analyst,35500.0,9,Active
MB00000079,41,F,SW1A 1AA,Healthcare,Senior Practitioner,51000.0,20,Active
MB00000080,49,F,W1A 1AA,Other,Manager,56000.0,28,Deferred
MB00000081,47,M,B3 3DH,Retail,Area Manager,54000.0,26,Active
MB00000082,59,F,M2 5BQ,Public Service,Grade 6,35500.0,38,Pensioner
MB00000083,52,M,M3 3EB,Healthcare,Band 5,42000.0,31,Deferred
MB00000084,65,F,L1 8JQ,Finance,Senior Manager,98000.0,44,Pensioner
MB00000085,43,F,E1 6AN,Other,Consultant,47000.0,19,Active
MB00000086,25,F,N1 9GU,Education,Teacher,34000.0,4,Active
MB00000087,58,M,EC1A 1BB,Retail,Sales Assistant,25000.0,36,Pensioner
MB00000088,53,F,SW1A 1AA,Manufacturing,Supervisor,38000.0,32,Deferred
MB00000089,46,F,W1A 1AA,Public Service,Senior Officer,46000.0,22,Active
MB00000090,35,M,B1 1HQ,Healthcare,Band 6,41000.0,13,Active
MB00000091,60,F,L2 2PP,Other,Senior Consultant,69000.0,39,Pensioner
MB00000092,38,M,B2 4QA,Education,Deputy Head,65000.0,17,Active
MB00000093,29,F,EH2 2ER,Finance,Analyst,50000.0,6,Active
MB00000094,45,M,G1 1XW,Public Service,Principal Officer,39000.0,24,Deferred
MB00000095,33,F,B3 3DH,Retail,Store Manager,34500.0,7,Active
MB00000096,42,F,CF11 9LJ,Other,Associate,38000.0,21,Active
MB00000097,57,M,CF10 1DD,Manufacturing,Technician,30000.0,36,Pensioner
MB00000098,36,F,LS2 8JS,Education,Senior Teacher,40000.0,15,Active
MB00000099,27,M,BS1 4TR,Healthcare,Band 7,45000.0,6,Active
MB00000100,48,F,BS2 0FZ,Finance,Manager,55000.0,27,Deferred
MB00000101,31,F,EC1A 1BB,Finance,Analyst,46000.0,9,Active
MB00000102,37,M,W1A 1AA,Public Service,Grade 6,42000.0,13,Active
MB00000103,44,F,LS1 1UR,Manufacturing,Senior Technician,35000.0,15,Active
MB00000104,29,F,S10 2TG,Healthcare,Band 5,32500.0,6,Active
MB00000105,54,M,M2 5BQ,Education,Senior Teacher,45000.0,23,Deferred
MB00000106,44,F,BS2 0FZ,Retail,Store Manager,34000.0,18,Active
MB00000107,39,F,EH1 1BB,Other,Consultant,52000.0,12,Active
MB00000108,33,M,G2 8DL,Finance,Associate,46000.0,8,Active
MB00000109,53,F,L2 2PP,Public Service,Grade 7,47000.0,32,Active
MB00000110,27,F,CF11 9LJ,Manufacturing,Technician,29000.0,5,Active
MB00000111,58,M,N1 9GU,Healthcare,Senior Practitioner,60000.0,28,Pensioner
MB00000112,25,F,M1 1AA,Education,Teacher,32000.0,3,Active
MB00000113,67,M,G1 1XW,Retail,Area Manager,50000.0,35,Pensioner
MB00000114,45,F,SW1A 1AA,Other,Senior Consultant,59000.0,19,Active
MB00000115,38,F,EH2 2ER,Finance,Senior Analyst,51000.0,14,Active
MB00000116,41,M,B3 3DH,Public Service,Senior Officer,34000.0,15,Active
MB00000117,50,F,L1 8JQ,Manufacturing,Production Manager,40000.0,23,Deferred
MB00000118,28,F,E1 6AN,Healthcare,Band 6,43000.0,7,Active
MB00000119,59,M,BS1 4TR,Education,Deputy Head,65000.0,34,Pensioner
MB00000120,48,M,LS2 8JS,Retail,Store Manager,35000.0,20,Deferred
MB00000121,56,F,EC1A 1BB,Other,Manager,72000.0,27,Active
MB00000122,35,M,E1 6AN,Finance,Manager,78000.0,13,Active
MB00000123,66,F,G1 1XW,Public Service,Principal Officer,80000.0,36,Pensioner
MB00000124,52,F,CF10 1DD,Manufacturing,Supervisor,35000.0,28,Active
MB00000125,29,M,S10 2TG,Healthcare,Band 7,44000.0,8,Active
MB00000126,39,O,W1A 1AA,Education,Senior Teacher,47000.0,14,Active
MB00000127,42,F,M2 5BQ,Retail,Sales Assistant,26000.0,9,Active
MB00000128,47,F,B1 1HQ,Other,Associate,35000.0,20,Deferred
MB00000129,24,M,E1 6AN,Finance,Analyst,41000.0,2,Active
MB00000130,49,F,L1 8JQ,Public Service,Grade 6,35000.0,23,Deferred
MB00000131,38,M,M3 3EB,Manufacturing,Technician,32000.0,13,Active
MB00000132,47,F,EH1 1BB,Healthcare,Senior Practitioner,48000.0,19,Active
MB00000133,55,M,S10 2TG,Education,Head of Department,56000.0,22,Pensioner
MB00000134,35,F,M2 5BQ,Retail,Area Manager,54000.0,10,Active
MB00000135,34,M,N1 9GU,Other,Senior Consultant,56000.0,9,Active
MB00000136,63,F,G2 8DL,Finance,Director,95000.0,32,Pensioner
MB00000137,44,F,L2 2PP,Public Service,Grade 7,46000.0,16,Active
MB00000138,32,M,BS1 4TR,Manufacturing,Supervisor,38500.0,7,Active
MB00000139,53,F,EC1A 1BB,Healthcare,Band 6,36000.0,20,Pensioner
MB00000140,40,M,SW1A 1AA,Education,Deputy Head,59000.0,15,Deferred
MB00000141,30,F,G1 1XW,Retail,Supervisor,27000.0,5,Active
MB00000142,46,M,EH2 2ER,Other,Consultant,51000.0,17,Active
MB00000143,40,F,BS2 0FZ,Finance,Senior Analyst,45000.0,15,Active
MB00000144,56,M,LS1 1UR,Public Service,Principal Officer,68000.0,30,Pensioner
MB00000145,49,F,B1 1HQ,Manufacturing,Senior Technician,36000.0,22,Deferred
MB00000146,67,M,B2 4QA,Healthcare,Band 7,72000.0,42,Pensioner
MB00000147,24,F,LS2 8JS,Education,Teacher,25000.0,2,Active
MB00000148,63,F,W1A 1AA,Retail,Store Manager,48000.0,39,Pensioner
MB00000149,28,M,G2 8DL,Other,Associate,43000.0,5,Active
MB00000150,52,F,SW1A 1AA,Finance,Manager,65000.0,26,Deferred
MB00000151,30,F,W1A 1AA,Finance,Senior Analyst,46000.0,4,Active
MB00000152,24,M,LS2 8JS,Public Service,Senior Officer,33000.0,3,Active
MB00000153,33,F,M3 3EB,Healthcare,Band 6,35000.0,5,Active
MB00000154,38,M,M2 5BQ,Manufacturing,Technician,32000.0,7,Active
MB00000155,44,F,E1 6AN,Other,Consultant,40000.0,15,Active
MB00000156,29,F,B1 1HQ,Retail,Store Manager,30000.0,7,Active
MB00000157,55,M,G2 8DL,Education,Head of Department,44000.0,22,Deferred
MB00000158,41,F,L2 2PP,Finance,Manager,65000.0,15,Active
MB00000159,47,F,EH1 1BB,Public Service,Grade 6,42000.0,19,Pensioner
MB00000160,31,M,LS1 1UR,Healthcare,Band 7,52000.0,10,Active
MB00000161,63,F,CF11 9LJ,Other,Associate,39000.0,30,Pensioner
MB00000162,36,M,L1 8JQ,Public Service,Principal Officer,47000.0,14,Active
MB00000163,28,F,EC1A 1BB,Manufacturing,Production Manager,38000.0,6,Active
MB00000164,25,O,EH2 2ER,Retail,Sales Assistant,22000.0,4,Active
MB00000165,66,M,G1 1XW,Education,Deputy Head,55000.0,40,Pensioner
MB00000166,52,F,BS1 4TR,Finance,Director,95000.0,25,Deferred
MB00000167,34,F,B2 4QA,Other,Senior Consultant,48000.0,9,Active
MB00000168,39,M,SW1A 1AA,Healthcare,Senior Practitioner,70000.0,18,Active
MB00000169,42,F,B3 3DH,Public Service,Grade7,34000.0,10,Active
MB00000170,23,M,LS1 1UR,Retail,Supervisor,27000.0,2,Active
MB00000171,61,F,L1 8JQ,Manufacturing,Senior Technician,42000.0,22,Pensioner
MB00000172,45,M,LS2 8JS,Other,Manager,55000.0,24,Pensioner
MB00000173,37,F,BS2 0FZ,Finance,Senior Manager,46000.0,13,Active
MB00000174,50,M,E1 6AN,Public Service,Principal Officer,48000.0,23,Deferred
MB00000175,35,F,W1A 1AA,Healthcare,Band5,32000.0,8,Active
MB00000176,54,M,SW1A 1AA,Retail,Area Manager,39000.0,30,Pensioner
MB00000177,63,F,G2 8DL,Education,Senior Teacher,48000.0,35,Pensioner
MB00000178,29,M,L1 8JQ,Other,Consultant,43000.0,7,Active
MB00000179,40,F,M2 5BQ,Finance,Associate,52000.0,17,Deferred
MB00000180,53,M,M1 1AA,Public Service,Grade 6,45000.0,31,Pensioner
MB00000181,27,F,EH2 2ER,Retail,Store Manager,34000.0,5,Active
MB00000182,48,M,B1 1HQ,Manufacturing,Supervisor,36000.0,20,Deferred
MB00000183,64,F,BS2 0FZ,Finance,Senior Analyst,74000.0,40,Pensioner
MB00000184,55,M,N1 9GU,Public Service,Grade 7,42000.0,30,Pensioner
MB00000185,32,F,CF10 1DD,Retail,Supervisor,31000.0,8,Active
MB00000186,25,F,M3 3EB,Finance,Analyst,35000.0,4,Active
MB00000187,43,M,E1 6AN,Healthcare,Band 6,33000.0,18,Active
MB00000188,57,F,SW1A 1AA,Other,Manager,62000.0,35,Pensioner
MB00000189,22,M,LS2 8JS,Education,Teacher,28000.0,1,Active
MB00000190,46,F,LS1 1UR,Manufacturing,Production Manager,37000.0,23,Deferred
MB00000191,51,M,B3 3DH,Finance,Senior Manager,98000.0,30,Pensioner
MB00000192,34,F,EH1 1BB,Public Service,Senior Officer,35000.0,9,Active
MB00000193,59,M,CF11 9LJ,Retail,Store Manager,33000.0,32,Pensioner
MB00000194,67,F,G1 1XW,Healthcare,Senior Practitioner,76000.0,40,Pensioner
MB00000195,28,F,L2 2PP,Other,Associate,31000.0,5,Active
MB00000196,39,M,M2 5BQ,Education,Head of Department,53000.0,18,Active
MB00000197,47,F,EC1A 1BB,Manufacturing,Technician,29000.0,24,Deferred
MB00000198,23,M,W1A 1AA,Retail,Area Manager,24000.0,3,Active
MB00000199,26,F,E1 6AN,Finance,Analyst,46000.0,5,Active
MB00000200,48,M,BS1 4TR,Retail,Sales Assistant,18500.0,9,Deferred
MemberID,Age,Gender,Postcode,Sector,JobGrade,,YearsService,Status
MB00000201,26,F,EC1A 1BB,Finance,Analyst,41000.0,5,Active
MB00000202,33,M,M2 5BQ,Manufacturing,Technician,30000.0,7,Deferred
MB00000203,44,F,BS2 0FZ,Public Service,Grade 6,42000.0,23,Active
MB00000204,52,F,E1 6AN,Healthcare,Senior Practitioner,54000.0,28,Pensioner
MB00000205,29,M,SW1A 1AA,Eduation,Teacher,31000.0,3,Active
MB00000206,24,F,M3 3EB,Retail,Sales Assistant,25000.0,2,Active
MB00000207,47,M,L2 2PP,Other,Consultant,42000.0,20,Active
MB00000208,36,M,LS2 8JS,Finance,Manager,67000.0,15,Deferred
MB00000209,39,O,G1 1XW,Public Service,Principal Officer,53000.0,17,Active
MB00000210,31,F,B2 4QA,Healthcare,Band 5,35000.0,10,Active
MB00000211,56,F,G2 8DL,Eduation,Senior Teacher,41000.0,34,Pensioner
MB00000212,23,M,EH1 1BB,Other,Senior Consultant,50000.0,1,Active
MB00000213,49,F,L1 8JQ,Manufacturing,Production Manager,46000.0,27,Pensioner
MB00000214,26,F,BS1 4TR,Retail,Store Manager,33000.0,4,Active
MB00000215,35,M,CF10 1DD,Finance,Senior Analyst,52000.0,12,Active
MB00000216,42,F,W1A 1AA,Public Service,Senior Officer,31000.0,14,Deferred
MB00000217,60,F,E1 6AN,Healthcare,Band 6,48000.0,39,Pensioner
MB00000218,27,F,N1 9GU,Eduation,Head of Department,32000.0,6,Active
MB00000219,51,M,M1 1AA,Retail,Area Manager,35000.0,26,Deferred
MB00000220,39,F,CF11 9LJ,Other,Manager,55000.0,19,Active
MB00000221,54,M,B3 3DH,Finance,Director,91000.0,30,Pensioner
MB00000222,45,F,SW1A 1AA,Public Service,Grade 7,29000.0,24,Active
MB00000223,32,F,EH2 2ER,Healthcare,Band 7,36000.0,11,Active
MB00000224,37,M,M2 5BQ,Eduation,Deputy Head,44000.0,15,Deferred
MB00000225,29,F,LS1 1UR,Retail,Sales Assistant,22000.0,7,Active
MB00000226,53,O,EC1A 1BB,Other,Associate,24000.0,32,Pensioner
MB00000227,41,F,B1 1HQ,Manufacturing,Senior Technician,29000.0,20,Deferred
MB00000228,25,F,M3 3EB,Finance,Analyst,36000.0,4,Active
MB00000229,46,F,E1 6AN,Public Service,Principal Officer,56000.0,25,Active
MB00000230,50,M,EH1 1BB,Healthcare,Band 7,37000.0,28,Pensioner
MB00000231,61,F,N1 9GU,Eduation,Senior Teacher,59000.0,40,Pensioner
MB00000232,38,F,B2 4QA,Other,Consultant,52000.0,17,Active
MB00000233,49,M,G1 1XW,Manufacturing,Production Manager,45000.0,27,Active
MB00000234,30,F,W1A 1AA,Retail,Store Manager,32000.0,9,Active
MB00000235,33,F,L2 2PP,Finance,Associate,47000.0,10,Active
MB00000236,43,M,BS2 0FZ,Public Service,Grade 6,44000.0,15,Active
MB00000237,28,F,E1 6AN,Healthcare,Band 5,42000.0,7,Active
MB00000238,48,F,BS1 4TR,Eduation,Teacher,38000.0,19,Active
MB00000239,58,F,M2 5BQ,Retail,Sales Assistant,25000.0,37,Pensioner
MB00000240,40,M,M3 3EB,Other,Consultant,46000.0,19,Active
MB00000241,27,F,M1 1AA,Manufacturing,Technician,30000.0,6,Active
MB00000242,34,F,B2 4QA,Finance,Manager,51000.0,13,Active
MB00000243,37,F,G2 8DL,Public Service,Principal Officer,36000.0,15,Deferred
MB00000244,55,M,LS1 1UR,Healthcare,Band 7,46000.0,34,Pensioner
MB00000245,31,F,CF10 1DD,Eduation,Head of Department,35000.0,10,Active
MB00000246,29,F,LS2 8JS,Retail,Store Manager,34000.0,8,Active
MB00000247,53,F,G1 1XW,Other,Manager,62000.0,32,Pensioner
MB00000248,23,M,B3 3DH,Manufacturing,Technician,28000.0,2,Active
MB00000249,62,F,SW1A 1AA,Finance,Director,78000.0,41,Pensioner
MB00000250,35,M,EH2 2ER,Public Service,Senior Officer,32000.0,10,Active
MB00000251,25,F,SW1A 1AA,Retail,Sales Assistant,26000.0,3,Active  
MB00000252,36,M,LS1 1UR,Finance,Senior Analyst,48000.0,10,Active  
MB00000253,42,F,E1 6AN,Education,Senior Teacher,32000.0,15,Active  
MB00000254,60,M,B1 1HQ,Public Service,Senior Officer,45000.0,29,Pensioner  
MB00000255,30,F,LS2 8JS,Manufacturing,Technician,32000.0,8,Active  
MB00000256,50,F,M1 1AA,Healthcare,Band 7,47000.0,22,Deferred  
MB00000257,39,O,L1 8JQ,Other,Senior Consultant,55000.0,18,Active  
MB00000258,45,M,G2 8DL,Finance,Manager,75000.0,19,Active  
MB00000259,55,F,EC1A 1BB,Education,Head of Department,45000.0,26,Pensioner  
MB00000260,22,M,B3 3DH,Retail,Sales Assistant,25000.0,1,Active  
MB00000261,38,F,N1 9GU,Public Service,Principal Officer,42000.0,15,Active  
MB00000262,52,F,E1 6AN,Manufacturing,Production Manager,65000.0,27,Deferred  
MB00000263,67,M,G1 1XW,Healthcare,Senior Practitioner,80000.0,45,Pensioner  
MB00000264,33,F,SW1A 1AA,Other,Consultant,34000.0,6,Active  
MB00000265,44,M,EH2 2ER,Finance,Associate,55000.0,20,Active  
MB00000266,27,F,EH1 1BB,Public Service,Grade 6,31000.0,5,Active  
MB00000267,65,M,L2 2PP,Education,Deputy Head,60000.0,44,Pensioner  
MB00000268,53,F,M3 3EB,Healthcare,Band 6,48000.0,30,Pensioner  
MB00000269,31,M,CF10 1DD,Retail,Supervisor,32000.0,9,Active  
MB00000270,45,F,W1A 1AA,Manufacturing,Supervisor,37000.0,20,Deferred  
MB00000271,24,F,BS1 4TR,Other,Associate,33000.0,3,Active  
MB00000272,42,O,M1 1AA,Finance,Director,105000.0,21,Active  
MB00000273,36,F,CF11 9LJ,Public Service,Grade 7,40000.0,12,Active  
MB00000274,56,M,E1 6AN,Education,Teacher,34000.0,30,Pensioner  
MB00000275,25,F,M2 5BQ,Healthcare,Band 5,32000.0,4,Active  
MB00000276,39,M,B2 4QA,Finance,Analyst,39000.0,11,Active  
MB00000277,48,F,L1 8JQ,Other,Manager,75000.0,25,Deferred  
MB00000278,73,F,LS1 1UR,Public Service,Principal Officer,58000.0,50,Pensioner  
MB00000279,55,M,G2 8DL,Manufacturing,Senior Technician,35000.0,31,Pensioner  
MB00000280,32,F,EC1A 1BB,Healthcare,Band 5,35000.0,7,Active  
MB00000281,41,M,BS2 0FZ,Retail,Store Manager,45000.0,16,Active  
MB00000282,51,F,SW1A 1AA,Other,Senior Consultant,65000.0,28,Deferred  
MB00000283,60,M,W1A 1AA,Public Service,Principal Officer,41000.0,33,Pensioner  
MB00000284,28,F,G1 1XW,Finance,Analyst,35000.0,4,Active  
MB00000285,39,M,M2 5BQ,Education,Senior Teacher,39000.0,11,Deferred  
MB00000286,56,F,B3 3DH,Healthcare,Band 7,50000.0,34,Pensioner  
MB00000287,26,O,LS2 8JS,Retail,Sales Assistant,25000.0,4,Active  
MB00000288,40,F,M3 3EB,Manufacturing,Technician,28000.0,13,Active  
MB00000289,68,M,E1 6AN,Finance,Senior Manager,95000.0,45,Pensioner  
MB00000290,54,F,CF11 9LJ,Public Service,Grade 6,35000.0,27,Pensioner  
MB00000291,22,M,L2 2PP,Other,Associate,30000.0,1,Active  
MB00000292,37,F,EH1 1BB,Education,Head of Department,40000.0,10,Active  
MB00000293,47,M,BS1 4TR,Healthcare,Band 6,35000.0,26,Deferred  
MB00000294,58,F,W1A 1AA,Retail,Area Manager,54000.0,35,Pensioner  
MB00000295,27,M,LS2 8JS,Finance,Analyst,36000.0,5,Active  
MB00000296,49,F,SW1A 1AA,Public Service,Senior Officer,43000.0,28,Deferred  
MB00000297,56,F,G1 1XW,Manufacturing,Production Manager,72000.0,35,Pensioner  
MB00000298,66,M,EC1A 1BB,Healthcare,Senior Practitioner,85000.0,44,Pensioner  
MB00000299,23,F,B1 1HQ,Other,Associate,32000.0,2,Active  
MB00000300,35,M,L1 8JQ,Education,Teacher,30000.0,12,Active
MemberID,Age,Gender,Postcode,Sector,JobGrade,,YearsService,Status
MB00000301,34,F,S1A 1AA,Finance,Analyst,41000.0,13,Active
MB00000302,29,M,B2 4QA,Manufacturing,Technician,33000.0,8,Active
MB00000303,50,F,CF10 1DD,Public Service,Grade 6,76000.0,29,Pensioner
MB00000304,39,M,M3 3EB,Public Service,Principal Officer,45000.0,18,Active
MB00000305,28,F,W1A 1AA,Retail,Store Manager,26000.0,4,Active
MB00000306,41,M,EH1 1BB,Other,Consultant,58000.0,14,Active
MB00000307,49,O,G1 1XW,Healthcare,Band 6,47000.0,25,Pensioner
MB00000308,37,F,M1 1AA,Finance,Manager,61000.0,16,Active
MB00000309,33,F,BS1 4TR,Manufacturing,Supervisor,35500.0,12,Active
MB00000310,23,M,N1 9GU,Retail,Sales Assistant,23000.0,2,Active
MB00000311,54,M,EH2 2ER,Education,Deputy Head,47000.0,31,Pensioner
MB00000312,45,F,L1 8JQ,Healthcare,Senior Practitioner,65000.0,27,Active
MB00000313,62,F,GS 1XW,Public Service,Senior Officer,35000.0,40,Pensioner
MB00000314,31,F,B3 3DH,Retail,Store Manager,27000.0,9,Active
MB00000315,29,M,M2 5BQ,Finance,Associate,48000.0,7,Active
MB00000316,50,F,E1 6AN,Manufacturing,Senior Technician,37000.0,30,Pensioner
MB00000317,42,F,G2 8DL,Education,Head of Department,38000.0,21,Active
MB00000318,48,F,BS2 0FZ,Retail,Area Manager,33000.0,18,Pensioner
MB00000319,35,M,L2 2PP,Public Service,Grade 7,42000.0,14,Active
MB00000320,46,F,E1 6AN,Finance,Senior Analyst,71000.0,25,Active
MB00000321,58,F,EC1A 1BB,Other,Senior Consultant,46000.0,32,Pensioner
MB00000322,27,F,CF11 9LJ,Healthcare,Band 5,34000.0,4,Active
MB00000323,49,M,EC1A 1BB,Retail,Area Manager,32000.0,27,Active
MB00000324,44,F,LS1 1UR,Public Service,Senior Officer,44000.0,26,Active
MB00000325,53,M,EH2 2ER,Education,Senior Teacher,42000.0,30,Pensioner
MB00000326,38,F,N1 9GU,Public Service,Principal Officer,47000.0,19,Active
MB00000327,56,F,E1 6AN,Finance,Director,80000.0,35,Pensioner
MB00000328,31,M,M1 1AA,Manufacturing,Technician,29000.0,10,Active
MB00000329,47,M,LS2 8JS,Other,Manager,55000.0,28,Active
MB00000330,22,F,W1A 1AA,Education,Teacher,31000.0,1,Active
MB00000331,41,F,L2 2PP,Finance,Senior Manager,71000.0,22,Active
MB00000332,39,M,M3 3EB,Manufacturing,Production Manager,61000.0,18,Active
MB00000333,60,F,B3 3DH,Public Service,Principal Officer,62000.0,36,Pensioner
MB00000334,25,F,SW1A 1AA,Healthcare,Band 5,32000.0,4,Active
MB00000335,32,M,BS1 4TR,Retail,Store Manager,35000.0,5,Active
MB00000336,51,F,G2 8DL,Education,Deputy Head,49000.0,30,Pensioner
MB00000337,28,F,M1 1AA,Public Service,Grade 6,46000.0,7,Active
MB00000338,57,M,S1A 1AA,Finance,Senior Manager,84000.0,36,Pensioner
MB00000339,26,F,S1A 1AA,Other,Associate,35500.0,5,Active
MB00000340,34,M,CF10 1DD,Retail,Sales Assistant,22000.0,11,Active
MB00000341,45,M,B2 4QA,Healthcare,Band 7,52000.0,23,Active
MB00000342,55,O,EH1 1BB,Public Service,Grade 7,40000.0,35,Pensioner
MB00000343,37,F,LS2 8JS,Other,Consultant,36000.0,16,Active
MB00000344,43,M,EC1A 1BB,Finance,Associate,55000.0,22,Active
MB00000345,35,F,EH2 2ER,Healthcare,Band 6,32000.0,14,Active
MB00000346,27,M,CF11 9LJ,Retail,Sales Assistant,23000.0,5,Active
MB00000347,54,F,M2 5BQ,Other,Senior Consultant,57000.0,34,Pensioner
MB00000348,33,M,BS2 0FZ,Education,Senior Teacher,31000.0,12,Active
MB00000349,44,F,L2 2PP,Public Service,Grade 6,39000.0,24,Active
MB00000350,52,F,B1 1HQ,Retail,Store Manager,27000.0,32,Pensioner
