MemberID,Age,Gender,Postcode,Sector,JobGrade,AnnualSalary,YearsService,Status
MB00000104,63,O,G1 XXX,Education,Senior Teacher,57000,42,Pensioner
MB00000105,71,M,G2 XXX,Retail,Area Manager,51000,50,Pensioner
MB00000106,23,F,EH1 XXX,Other,Consultant,49000,2,Active
MB00000107,27,O,EH2 XXX,Finance,Senior Analyst,36000,6,Active
MB00000108,32,M,CF10 XXX,Public Service,Grade 7,47000,11,Active
MB00000109,37,F,CF11 XXX,Manufacturing,Production Manager,61000,16,Active
MB00000110,43,O,L1 XXX,Healthcare,Band 6,27000,22,Deferred
MB00000111,50,M,L2 XXX,Education,Senior Teacher,50000,29,Pensioner
MB00000112,54,F,LS1 XXX,Retail,Area Manager,45000,33,Pensioner
MB00000113,59,O,LS2 XXX,Other,Associate,28000,38,Pensioner
MB00000114,66,M,BS1 XXX,Finance,Director,112000,45,Pensioner
MB00000115,73,F,BS2 XXX,Public Service,Grade 6,53000,52,Pensioner
MB00000116,24,O,EC1A XXX,Healthcare,Band 5,23000,3,Active
MB00000117,29,M,SW1A XXX,Education,Deputy Head,59000,8,Active
MB00000118,33,F,W1A XXX,Retail,Supervisor,34000,12,Deferred
MB00000119,38,O,E1 XXX,Finance,Senior Analyst,49000,17,Active
MB00000120,44,M,N1 XXX,Public Service,Grade 7,38000,23,Active
MB00000121,49,F,M1 XXX,Manufacturing,Technician,31000,28,Deferred
MB00000122,54,O,M2 XXX,Healthcare,Band 7,39000,33,Pensioner
MB00000123,63,M,M3 XXX,Education,Head of Department,37000,42,Pensioner
MB00000124,70,F,B1 XXX,Retail,Sales Assistant,21000,49,Pensioner
MB00000125,78,O,B2 XXX,Other,Senior Consultant,86000,57,Pensioner
MB00000126,24,M,B3 XXX,Finance,Associate,59000,3,Active
MB00000127,30,F,G1 XXX,Public Service,Senior Officer,47000,9,Active
MB00000128,36,O,G2 XXX,Manufacturing,Production Manager,44000,15,Active
MB00000129,42,M,EH1 XXX,Healthcare,Band 6,39000,21,Active
MB00000130,47,F,EH2 XXX,Education,Teacher,26000,26,Deferred
MB00000131,51,O,CF10 XXX,Retail,Store Manager,35000,30,Pensioner
MB00000132,59,M,CF11 XXX,Other,Consultant,60000,38,Pensioner
MB00000133,68,F,L1 XXX,Finance,Manager,84000,47,Pensioner
MB00000134,79,O,L2 XXX,Public Service,Grade 6,58000,58,Pensioner
MB00000135,22,M,LS1 XXX,Healthcare,Band 7,39000,1,Active
MB00000136,26,F,LS2 XXX,Education,Senior Teacher,49000,5,Active
MB00000137,32,O,BS1 XXX,Retail,Area Manager,36000,11,Active
MB00000138,35,M,BS2 XXX,Finance,Senior Analyst,77000,14,Deferred
MB00000139,41,F,EC1A XXX,Public Service,Principal Officer,57000,20,Active
MB00000140,50,O,SW1A XXX,Manufacturing,Senior Technician,34000,29,Pensioner
MB00000141,55,M,W1A XXX,Healthcare,Band 6,32000,34,Pensioner
MB00000142,60,F,E1 XXX,Education,Deputy Head,57000,39,Pensioner
MB00000143,67,O,N1 XXX,Retail,Sales Assistant,22000,46,Pensioner
MB00000144,75,M,M1 XXX,Other,Senior Consultant,85000,54,Pensioner
MB00000145,23,F,M2 XXX,Finance,Associate,58000,2,Active
MB00000146,29,O,M3 XXX,Public Service,Principal Officer,57000,8,Active
MB00000147,35,M,B1 XXX,Manufacturing,Production Manager,42000,14,Deferred
MB00000148,38,F,B2 XXX,Healthcare,Senior Practitioner,65000,17,Active
MB00000149,43,O,B3 XXX,Education,Teacher,31000,22,Active
MB00000150,48,M,G1 XXX,Retail,Supervisor,41000,27,Active
MB00000151,54,F,G2 XXX,Other,Consultant,56000,33,Pensioner
MB00000152,60,O,EH1 XXX,Finance,Director,108000,39,Pensioner
MB00000153,69,M,EH2 XXX,Public Service,Grade 6,49000,48,Pensioner
MB00000154,23,F,CF10 XXX,Healthcare,Band 5,23000,2,Active
MB00000155,27,O,CF11 XXX,Education,Senior Teacher,42000,6,Active
MB00000156,30,M,L1 XXX,Retail,Supervisor,34000,9,Deferred
MB00000157,37,F,L2 XXX,Finance,Senior Manager,70000,16,Active
MB00000158,45,O,LS1 XXX,Public Service,Senior Officer,47000,24,Active
MB00000159,51,M,LS2 XXX,Manufacturing,Technician,28000,30,Pensioner
MB00000160,56,F,BS1 XXX,Healthcare,Band 6,40000,35,Pensioner
MB00000161,62,O,BS2 XXX,Education,Head of Department,52000,41,Pensioner
MB00000162,70,M,EC1A XXX,Retail,Sales Assistant,21000,49,Pensioner
MB00000163,78,F,SW1A XXX,Other,Manager,76000,57,Pensioner
MB00000164,22,O,W1A XXX,Finance,Analyst,29000,1,Active
MB00000165,25,M,E1 XXX,Public Service,Grade 6,43000,4,Active
MB00000166,31,F,N1 XXX,Healthcare,Band 6,45000,10,Active
MB00000167,33,O,M1 XXX,Education,Teacher,28000,12,Active
MB00000168,39,M,M2 XXX,Retail,Store Manager,37000,18,Deferred
MB00000169,42,F,M3 XXX,Finance,Manager,62000,21,Active
MB00000170,48,O,B1 XXX,Public Service,Principal Officer,63000,27,Deferred
MB00000171,56,M,B2 XXX,Manufacturing,Senior Technician,34000,35,Pensioner
MB00000172,64,F,B3 XXX,Healthcare,Senior Practitioner,55000,43,Pensioner
MB00000173,72,O,G1 XXX,Education,Senior Teacher,57000,51,Pensioner
MB00000174,80,M,G2 XXX,Retail,Area Manager,51000,59,Pensioner
MB00000175,23,F,EH1 XXX,Other,Consultant,49000,2,Active
MB00000176,27,O,EH2 XXX,Finance,Senior Analyst,36000,6,Active
MB00000177,32,M,CF10 XXX,Public Service,Grade 7,47000,11,Active
MB00000178,36,F,CF11 XXX,Manufacturing,Production Manager,61000,15,Active
MB00000179,43,O,L1 XXX,Healthcare,Band 6,27000,22,Deferred
MB00000180,50,M,L2 XXX,Education,Senior Teacher,50000,29,Pensioner
MB00000181,54,F,LS1 XXX,Retail,Area Manager,45000,33,Pensioner
MB00000182,59,O,LS2 XXX,Other,Associate,28000,38,Pensioner
MB00000183,67,M,BS1 XXX,Finance,Director,112000,46,Pensioner
MB00000184,74,F,BS2 XXX,Public Service,Grade 6,53000,53,Pensioner
MB00000185,24,O,EC1A XXX,Healthcare,Band 5,23000,3,Active
MB00000186,29,M,SW1A XXX,Education,Deputy Head,59000,8,Active
MB00000187,35,F,W1A XXX,Retail,Supervisor,34000,14,Deferred
MB00000188,40,O,E1 XXX,Finance,Senior Analyst,49000,19,Active
MB00000189,46,M,N1 XXX,Public Service,Grade 7,38000,25,Active
MB00000190,49,F,M1 XXX,Manufacturing,Technician,31000,28,Deferred
MB00000191,54,O,M2 XXX,Healthcare,Band 7,39000,33,Pensioner
MB00000192,63,M,M3 XXX,Education,Head of Department,37000,42,Pensioner
MB00000193,69,F,B1 XXX,Retail,Sales Assistant,21000,48,Pensioner
MB00000194,78,O,B2 XXX,Other,Senior Consultant,86000,57,Pensioner
MB00000195,24,M,B3 XXX,Finance,Associate,59000,3,Active
MB00000196,30,F,G1 XXX,Public Service,Senior Officer,47000,9,Active
MB00000197,36,O,G2 XXX,Manufacturing,Production Manager,44000,15,Active
MB00000198,43,M,EH1 XXX,Healthcare,Band 6,39000,22,Active
MB00000199,47,F,EH2 XXX,Education,Teacher,26000,26,Deferred
MB00000200,51,O,CF10 XXX,Retail,Store Manager,35000,30,Pensioner
